,abv,brewery_location,brewery_name,ibu,id,name,size,style,ibu_clean,abv_clean,state
2142,6.2%,"Aurora, IN",Great Crescent Brewery,60,436,Great Crescent IPA (2011),16 oz.,American IPA,60.0,6.2,IN
2143,6.8%,"Lahaina, HI",Maui Brewing Company,68,435,Flyin' HI.P.Hay,12 oz.,American IPA,68.0,6.8,HI
2144,5.7%,"Anchorage, AK",Midnight Sun Brewing Company,70,434,Sockeye Red IPA,12 oz.,American IPA,70.0,5.7,AK
2145,5.5%,"Greenville, DE",Twin Lakes Brewing Company,52,433,Greenville Pale Ale,12 oz.,American Pale Ale (APA),52.0,5.5,DE
2146,9.7%,"San Francisco, CA",21st Amendment Brewery,94,432,Hop Crisis,12 oz.,American Double / Imperial IPA,94.0,9.7,CA
2147,5.5%,"Golden, CO",AC Golden Brewing Company,26,431,Colorado Native (2011),12 oz.,American Amber / Red Lager,26.0,5.5,CO
2148,8.2%,"Lake Barrington, IL",Wild Onion Brewing Company,100,430,Hop Slayer Double IPA (2011),12 oz.,American Double / Imperial IPA,100.0,8.2,IL
2149,5.3%,"Asheville, NC",Asheville Brewing Company,26,429,Ninja Porter,12 oz.,American Porter,26.0,5.3,NC
2150,6.0%,"Asheville, NC",Asheville Brewing Company,69,428,Shiva IPA,12 oz.,American IPA,69.0,6.0,NC
2151,5.1%,"Pittsboro, NC",Carolina Brewery,N/A,427,Sky Blue Golden Ale,12 oz.,Kölsch,21.7777777778,5.1,NC
2152,7.2%,"Chico, CA",Sierra Nevada Brewing Company,65,426,Torpedo,16 oz.,American IPA,65.0,7.2,CA
2153,5.4%,"Brooklyn, NY",Sixpoint Craft Ales,42,425,The Crisp (2011),16 oz.,German Pilsener,42.0,5.4,NY
2154,5.2%,"Brooklyn, NY",Sixpoint Craft Ales,34,424,Sweet Action (2011),16 oz.,Cream Ale,34.0,5.2,NY
2155,6.3%,"Brooklyn, NY",Sixpoint Craft Ales,57,423,Righteous Ale (2011),16 oz.,Rye Beer,57.0,6.3,NY
2156,6.4%,"Brooklyn, NY",Sixpoint Craft Ales,62,422,Bengali Tiger (2011),16 oz.,American IPA,62.0,6.4,NY
2157,5.3%,"Mustang, OK",Mustang Brewing Company,10,421,Mustang Golden Ale,12 oz.,American Blonde Ale,10.0,5.3,OK
2158,5.3%,"Mustang, OK",Mustang Brewing Company,14,420,Washita Wheat,12 oz.,American Pale Wheat Ale,14.0,5.3,OK
2159,5.0%,"Kinston, NC",Mother Earth Brewing Company,N/A,419,Second Wind Pale Ale,12 oz.,American Pale Ale (APA),44.9411764706,5.0,NC
2160,6.1%,"Chicago, IL",Revolution Brewing Company,31,418,Fistmas Ale,12 oz.,Herbed / Spiced Beer,31.0,6.1,IL
2161,5.7%,"Chicago, IL",Revolution Brewing Company,25,417,Oktoberfest Revolution,12 oz.,Märzen / Oktoberfest,25.0,5.7,IL
2162,6.8%,"Chicago, IL",Revolution Brewing Company,28,416,Eugene Porter,12 oz.,American Porter,28.0,6.8,IL
2163,6.5%,"Chicago, IL",Revolution Brewing Company,70,415,Anti-Hero IPA,12 oz.,American IPA,70.0,6.5,IL
2164,5.0%,"Chicago, IL",Revolution Brewing Company,14,414,Bottom Up Belgian Wit,12 oz.,Witbier,14.0,5.0,IL
2165,6.0%,"Battle Creek, MI",Arcadia Brewing Company,55,413,Sky High Rye,12 oz.,American Pale Ale (APA),55.0,6.0,MI
2166,5.0%,"Manhattan, KS",Tallgrass Brewing Company,20,412,Halcyon Unfiltered Wheat,12 oz.,American Pale Wheat Ale,20.0,5.0,KS
2167,5.4%,"Hayward, WI",Angry Minnow Brewing Company,N/A,410,River Pig Pale Ale,16 oz.,American Pale Ale (APA),44.9411764706,5.4,WI
2168,4.7%,"Hayward, WI",Angry Minnow Brewing Company,N/A,409,Oaky's Oatmeal Stout,16 oz.,Oatmeal Stout,28.0909090909,4.7,WI
2169,5.0%,"Kinston, NC",Mother Earth Brewing Company,N/A,408,Sunny Haze,12 oz.,Hefeweizen,17.5925925926,5.0,NC
2170,5.0%,"Jackson, WY",Snake River Brewing Company,22,407,OB-1 Organic Ale,12 oz.,English Brown Ale,22.0,5.0,WY
2171,5.0%,"Jackson, WY",Snake River Brewing Company,18,406,Snake River Lager,12 oz.,Vienna Lager,18.0,5.0,WY
2172,4.5%,"Whitefish, MT",Great Northern Brewing Company,15,404,Black Star Double Hopped Golden Lager (24 oz.),24 oz.,American Pale Lager,15.0,4.5,MT
2173,4.2%,"Providence, RI",Narragansett Brewing Company,24,403,Narragansett Summer Ale,16 oz.,American Pale Wheat Ale,24.0,4.2,RI
2174,5.2%,"Jackson, WY",Snake River Brewing Company,32,402,Snake River Pale Ale,12 oz.,American Pale Ale (APA),32.0,5.2,WY
2175,5.6%,"Chico, CA",Sierra Nevada Brewing Company,37,400,Sierra Nevada Pale Ale,12 oz.,American Pale Ale (APA),37.0,5.6,CA
2176,5.2%,"Seattle, WA",Pyramid Breweries,18,399,Pyramid Hefeweizen (2011),12 oz.,Hefeweizen,18.0,5.2,WA
2177,4.2%,"Lake Barrington, IL",Wild Onion Brewing Company,13,398,Wild Onion Summer Wit,12 oz.,Witbier,13.0,4.2,IL
2178,4.5%,"Denver, CO",Breckenridge Brewery,15,397,SummerBright Ale,12 oz.,American Pale Wheat Ale,15.0,4.5,CO
2179,7.8%,"Buena Vista, CO",Eddyline Brewery & Restaurant,74,395,Crank Yanker IPA (2011),16 oz.,American IPA,74.0,7.8,CO
2180,9.9%,"Indianapolis, IN",Sun King Brewing Company,60,394,Johan the Barleywine,16 oz.,English Barleywine,60.0,9.9,IN
2181,6.8%,"Jackson, WY",Snake River Brewing Company,60,393,Pako’s EyePA,12 oz.,American IPA,60.0,6.8,WY
2182,6.6%,"Lancaster, PA",Lancaster Brewing Company,30,392,Rumspringa Golden Bock,12 oz.,Maibock / Helles Bock,30.0,6.6,PA
2183,9.0%,"Longmont, CO",Oskar Blues Brewery,60,391,One Hit Wonder,12 oz.,American Double / Imperial IPA,60.0,9.0,CO
2184,6.2%,"Battle Creek, MI",Arcadia Brewing Company,17,390,Whitsun,12 oz.,American Pale Wheat Ale,17.0,6.2,MI
2185,5.3%,"Aurora, IN",Great Crescent Brewery,22,389,Great Crescent Blonde Ale (2011),16 oz.,American Blonde Ale,22.0,5.3,IN
2186,8.7%,"Longmont, CO",Oskar Blues Brewery,85,388,G'KNIGHT (12 oz.),12 oz.,American Double / Imperial IPA,85.0,8.7,CO
2187,5.5%,"Grand Rapids, MI",Brewery Vivant,N/A,387,Farm Hand,16 oz.,Saison / Farmhouse Ale,28.3913043478,5.5,MI
2188,4.2%,"Durango, CO",Ska Brewing Company,18,386,Mexican Logger,12 oz.,American Pale Lager,18.0,4.2,CO
2189,6.0%,"Grand Rapids, MI",Brewery Vivant,N/A,385,Solitude,16 oz.,Belgian Pale Ale,23.875,6.0,MI
2190,6.5%,"Grand Rapids, MI",Brewery Vivant,N/A,384,Triomphe,16 oz.,Belgian IPA,57.0,6.5,MI
2191,7.3%,"Reno, NV",Buckbean Brewing Company,85,383,Black Adder IBA (Current),16 oz.,American Black Ale,85.0,7.3,NV
2192,5.3%,"Elmira, NY",Upstate Brewing Company,22,382,Common Sense Kentucky Common Ale,16 oz.,American Brown Ale,22.0,5.3,NY
2193,6.5%,"Elmira, NY",Upstate Brewing Company,70,381,Upstate I.P.W.,12 oz.,American IPA,70.0,6.5,NY
2194,8.0%,"Waterbury, VT",The Alchemist,120,379,Heady Topper,16 oz.,American Double / Imperial IPA,120.0,8.0,VT
2195,6.0%,"Davenport, IA",Great River Brewery,36,371,Redband Stout,16 oz.,American Stout,36.0,6.0,IA
2196,4.8%,"Crozet, VA",Starr Hill Brewery,12,369,Festie,12 oz.,Märzen / Oktoberfest,12.0,4.8,VA
2197,6.5%,"Crozet, VA",Starr Hill Brewery,52,368,Northern Lights India Pale Ale,12 oz.,American IPA,52.0,6.5,VA
2198,7.0%,"Boonville, CA",Anderson Valley Brewing Company,80,367,Hop Ottin' IPA (2011),12 oz.,American IPA,80.0,7.0,CA
2199,6.0%,"Lake Barrington, IL",Wild Onion Brewing Company,23,366,Jack Stout,12 oz.,Oatmeal Stout,23.0,6.0,IL
2200,4.8%,"Royal Oak, MI",MillKing It Productions,N/A,365,BRIK Irish Red Ale,16 oz.,Irish Red Ale,28.0,4.8,MI
2202,5.0%,"Rochester, MI",Rochester Mills Brewing Company,N/A,363,Milkshake Stout,16 oz.,Milk / Sweet Stout,25.1666666667,5.0,MI
2203,5.0%,"San Diego, CA",TailGate Beer,19,362,Blacktop Blonde,12 oz.,American Blonde Ale,19.0,5.0,CA
2204,4.9%,"San Diego, CA",TailGate Beer,28,361,TailGate Hefeweizen,12 oz.,Hefeweizen,28.0,4.9,CA
2205,5.1%,"South Burlington, VT",Magic Hat Brewing Company,20,360,#9,12 oz.,Fruit / Vegetable Beer,20.0,5.1,VT
2206,3.8%,"Nantucket, MA",Cisco Brewers,N/A,359,Sankaty Light Lager,12 oz.,Light Lager,11.6666666667,3.8,MA
2207,6.7%,"Tempe, AZ",Four Peaks Brewing Company,47,358,Hop Knot IPA,12 oz.,American IPA,47.0,6.7,AZ
2208,5.4%,"Stevens Point, WI",Stevens Point Brewery,32,357,2012 Black Ale,12 oz.,American Brown Ale,32.0,5.4,WI
2209,5.2%,"Edwards, CO",Crazy Mountain Brewing Company,25,356,Crazy Mountain Amber Ale,12 oz.,American Amber / Red Ale,25.0,5.2,CO
2210,6.1%,"Flagstaff, AZ",Lumberyard Brewing Company,N/A,355,Lumberyard IPA,12 oz.,American IPA,67.634551495,6.1,AZ
2211,4.4%,"San Francisco, CA",21st Amendment Brewery,42,353,Bitter American (2011),12 oz.,American Pale Ale (APA),42.0,4.4,CA
2212,6.0%,"Chicago, IL",Half Acre Beer Company,N/A,352,Over Ale,16 oz.,American Brown Ale,30.0256410256,6.0,IL
2213,5.5%,"Chicago, IL",Finch's Beer Company,N/A,351,Cut Throat Pale Ale (2011),16 oz.,American Pale Ale (APA),44.9411764706,5.5,IL
2214,4.7%,"Chicago, IL",Finch's Beer Company,N/A,350,Golden Wing Blonde Ale,16 oz.,American Blonde Ale,20.9032258065,4.7,IL
2215,6.8%,"Soldotna, AK",Kenai River Brewing Company,N/A,349,Sunken Island IPA,12 oz.,American IPA,67.634551495,6.8,AK
2216,5.8%,"Soldotna, AK",Kenai River Brewing Company,N/A,348,Skilak Scottish Ale (2011),12 oz.,Scottish Ale,34.25,5.8,AK
2217,6.4%,"Santa Cruz, CA",Uncommon Brewers,N/A,347,Golden State Ale,16 oz.,Belgian Pale Ale,23.875,6.4,CA
2218,7.8%,"Santa Cruz, CA",Uncommon Brewers,N/A,346,Baltic Porter,16 oz.,Baltic Porter,54.0,7.8,CA
2219,6.7%,"Boulder, CO",Upslope Brewing Company,N/A,345,Upslope Brown Ale,12 oz.,English Brown Ale,23.2,6.7,CO
2220,4.0%,"Midvale, UT",Bohemian Brewery,N/A,344,Cherny Bock,12 oz.,Schwarzbier,31.0,4.0,UT
2221,6.2%,"Austin, TX",Austin Beerworks,N/A,343,Fire Eagle IPA,12 oz.,American IPA,67.634551495,6.2,TX
2222,5.1%,"Austin, TX",Austin Beerworks,N/A,342,Peacemaker,12 oz.,American Pale Ale (APA),44.9411764706,5.1,TX
2223,5.3%,"Austin, TX",Austin Beerworks,N/A,341,Pearl-Snap,12 oz.,German Pilsener,34.1764705882,5.3,TX
2224,5.2%,"Austin, TX",Austin Beerworks,N/A,340,Black Thunder,12 oz.,Schwarzbier,31.0,5.2,TX
2225,5.8%,"Woodinville, WA",Redhook Brewery,27,339,Copper Hook (2011),12 oz.,American Amber / Red Ale,27.0,5.8,WA
2226,5.5%,"North Conway, NH",Moat Mountain Smoke House & Brew...,N/A,337,Boneshaker Brown Ale,24 oz.,English Brown Ale,23.2,5.5,NH
2227,5.6%,"North Conway, NH",Moat Mountain Smoke House & Brew...,N/A,336,Iron Mike Pale Ale,24 oz.,American Pale Ale (APA),44.9411764706,5.6,NH
2229,4.5%,"Lake Barrington, IL",Wild Onion Brewing Company,N/A,334,Wild Onion Pumpkin Ale (2010),12 oz.,Pumpkin Ale,24.8181818182,4.5,IL
2230,7.5%,"Brooklyn Center, MN",Surly Brewing Company,90,329,WET,16 oz.,American IPA,90.0,7.5,MN
2231,4.5%,"Brooklyn, NY",Brooklyn Brewery,N/A,328,Brooklyn Summer Ale (2011),12 oz.,English Pale Mild Ale,16.0,4.5,NY
2232,5.0%,"Flagstaff, AZ",Mogollon Brewing Company,N/A,327,Wapiti Amber Ale,12 oz.,American Amber / Red Ale,36.2987012987,5.0,AZ
2233,4.2%,"Lake Havasu City, AZ",Mudshark Brewing Company,N/A,326,Up River Light,12 oz.,Light Lager,11.6666666667,4.2,AZ
2234,7.2%,"Pinedale, WY",Wind River Brewing Company,N/A,324,Wyoming Pale Ale,16 oz.,American Pale Ale (APA),44.9411764706,7.2,WY
2235,5.0%,"Pinedale, WY",Wind River Brewing Company,N/A,323,Wind River Blonde Ale,16 oz.,American Blonde Ale,20.9032258065,5.0,WY
2236,7.9%,"San Francisco, CA",21st Amendment Brewery,45,321,Fireside Chat (2010),12 oz.,Winter Warmer,45.0,7.9,CA
2237,8.8%,"Woodbridge, CT",New England Brewing Company,85,320,Gandhi-Bot Double IPA (12 oz.),12 oz.,American Double / Imperial IPA,85.0,8.8,CT
2238,5.1%,"Astoria, OR",Fort George Brewery,N/A,319,1811 Lager,16 oz.,American Amber / Red Lager,23.25,5.1,OR
2239,7.4%,"Astoria, OR",Fort George Brewery,97,318,Vortex IPA,16 oz.,American IPA,97.0,7.4,OR
2240,7.0%,"Chandler, AZ",SanTan Brewing Company,85,317,Hop Shock IPA (2010),12 oz.,American IPA,85.0,7.0,AZ
2241,7.0%,"Providence, RI",Narragansett Brewing Company,22,316,Narragansett Porter,16 oz.,American Porter,22.0,7.0,RI
2242,6.5%,"Providence, RI",Narragansett Brewing Company,32,315,Narragansett Bock,16 oz.,Bock,32.0,6.5,RI
2243,5.5%,"Providence, RI",Narragansett Brewing Company,15,314,Narragansett Fest Lager,16 oz.,Märzen / Oktoberfest,15.0,5.5,RI
2244,5.5%,"Lahaina, HI",Maui Brewing Company,15,313,Mana Wheat,12 oz.,American Pale Wheat Ale,15.0,5.5,HI
2245,9.3%,"Birmingham, AL",Good People Brewing Company,103,312,Snake Handler Double IPA,12 oz.,American Double / Imperial IPA,103.0,9.3,AL
2246,6.0%,"Birmingham, AL",Good People Brewing Company,54,311,Coffee Oatmeal Stout,12 oz.,Oatmeal Stout,54.0,6.0,AL
2247,6.0%,"Birmingham, AL",Good People Brewing Company,64,309,Good People IPA,12 oz.,American IPA,64.0,6.0,AL
2248,5.8%,"Birmingham, AL",Good People Brewing Company,36,308,Good People American Brown Ale,12 oz.,American Brown Ale,36.0,5.8,AL
2250,8.0%,"Santa Fe, NM",Santa Fe Brewing Company,N/A,305,Imperial Java Stout,12 oz.,Russian Imperial Stout,86.5,8.0,NM
2251,5.5%,"Santa Fe, NM",Santa Fe Brewing Company,N/A,304,Freestyle Pilsner,12 oz.,German Pilsener,34.1764705882,5.5,NM
2252,5.0%,"Chandler, AZ",SanTan Brewing Company,15,286,SanTan HefeWeizen (2010),12 oz.,Hefeweizen,15.0,5.0,AZ
2253,5.5%,"Chandler, AZ",SanTan Brewing Company,45,285,Devil’s Ale (2010),12 oz.,American Pale Ale (APA),45.0,5.5,AZ
2255,6.9%,"Spearfish, SD",Crow Peak Brewing Company,N/A,272,Pile O'Dirt Porter,12 oz.,American Porter,32.2368421053,6.9,SD
2256,6.0%,"Spearfish, SD",Crow Peak Brewing Company,N/A,271,11th Hour IPA,12 oz.,American IPA,67.634551495,6.0,SD
2257,6.2%,"Paonia, CO",Revolution Brewing,N/A,220,Colorado Red Ale,12 oz.,American Amber / Red Ale,36.2987012987,6.2,CO
2259,6.6%,"Santa Fe, NM",Santa Fe Brewing Company,N/A,217,Happy Camper IPA,12 oz.,American IPA,67.634551495,6.6,NM
